DATE,CE
2009-05-01,140248
2009-06-01,140009
2009-07-01,139901
2009-08-01,139492
2009-09-01,138818
2009-10-01,138432
2009-11-01,138659
2009-12-01,138013
2010-01-01,138438
2010-02-01,138581
2010-03-01,138751
2010-04-01,139297
2010-05-01,139241
2010-06-01,139141
2010-07-01,139179
2010-08-01,139438
2010-09-01,139396
2010-10-01,139119
2010-11-01,139044
2010-12-01,139301
2011-01-01,139250
2011-02-01,139394
2011-03-01,139639
2011-04-01,139586
2011-05-01,139624
2011-06-01,139384
2011-07-01,139524
2011-08-01,139942
2011-09-01,140183
2011-10-01,140368
2011-11-01,140826
2011-12-01,140902
2012-01-01,141584
2012-02-01,141858
2012-03-01,142036
2012-04-01,141899
2012-05-01,142206
2012-06-01,142391
2012-07-01,142292
2012-08-01,142291
2012-09-01,143044
2012-10-01,143431
2012-11-01,143333
2012-12-01,143330
2013-01-01,143292
2013-02-01,143362
2013-03-01,143316
2013-04-01,143635
2013-05-01,143882
2013-06-01,143999
2013-07-01,144264
2013-08-01,144326
2013-09-01,144418
2013-10-01,143537
2013-11-01,144479
2013-12-01,144778
2014-01-01,145150
2014-02-01,145134
2014-03-01,145648
2014-04-01,145667
2014-05-01,145825
2014-06-01,146247
2014-07-01,146399
2014-08-01,146530
2014-09-01,146778
2014-10-01,147427
2014-11-01,147404
2014-12-01,147615
2015-01-01,148150
2015-02-01,148053
2015-03-01,148122
2015-04-01,148491
2015-05-01,148802
2015-06-01,148765
2015-07-01,148815
2015-08-01,149175
2015-09-01,148853
2015-10-01,149270
2015-11-01,149506
2015-12-01,150164
2016-01-01,150622
2016-02-01,150934
2016-03-01,151146
2016-04-01,150963
2016-05-01,151074
2016-06-01,151104
2016-07-01,151450
2016-08-01,151766
2016-09-01,151877
2016-10-01,151949
2016-11-01,152150
2016-12-01,152276
2017-01-01,152128
2017-02-01,152417
2017-03-01,152958
2017-04-01,153150
2017-05-01,152920
2017-06-01,153176
2017-07-01,153456
2017-08-01,153591
2017-09-01,154399
2017-10-01,153847
2017-11-01,153945
2017-12-01,154065
2018-01-01,154482
2018-02-01,155213
2018-03-01,155160
2018-04-01,155216
2018-05-01,155539
2018-06-01,155592
2018-07-01,155964
2018-08-01,155604
2018-09-01,156069
2018-10-01,156582
2018-11-01,156803
2018-12-01,156945
2019-01-01,156694
2019-02-01,156949
2019-03-01,156748
2019-04-01,156645
